Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Robot Programmer / Robotics Automation Engineer,Vega Intellisoft Inc.,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/0d632c97-600f-4fd5-bf23-23188dfa15ec
Mainframe Programmer (COBOL),STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/c6fd71d6-9a3d-4900-a0a5-d65b1f41e209
Technical Project Manager - IT PMO,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/5ea52978-f197-4ffd-b04e-df2440956802
SAP SD S/4HANA,K-Tek Resourcing LLC,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/fae3acc1-cf9f-4437-ba3e-be200123cf97
Mobile Test Engineer,"HireTalent, LLC",,"Hybrid in Mexico City, Mexico City",,,,,,,,,,,,https://www.dice.com/job-detail/8bdcdf84-d2ff-45ec-845d-2960079e84fb
Windows Platform SME with Dev-Ops -- Remote,Smart Folks Inc.,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/c9824c84-8467-4f86-982c-3f978a2d9e16
"Blueyonder Transport management system (TMS)- SFO, California / Dallas, TX- onsite- USA",Yochana IT Solutions,,Texas,,,,,,,,,,,,https://www.dice.com/job-detail/684a9c72-083a-4269-9d9b-2cb6b4edf2a9
Backend Go Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/273b8ba8-abe8-4918-b021-739cf65e9b14
Android Automation Engineer,Estuate Inc.,,"Mexico City, Mexico City",,,,,,,,,,,,https://www.dice.com/job-detail/21451e83-7cf3-4903-9c76-bb8fe092a25e
PLC Programmer / PLC Control Engineer,Vega Intellisoft Inc.,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/42bb6823-74ec-4e49-8036-431d2ab49a02
Desktop Support Engineer - Techbar,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/3bf3f359-3326-416a-a43f-2446e146baa5
Project Manager - LAN/WLAN & Fiber Infrastructure,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/0c536e1d-ac72-4bb3-b38c-2cbcfe23fe1c
Project Manager - PCI DSS compliance program,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/5fa11cc6-dd88-464e-88da-030ea683e46e
"Mergers & Acquisitions (M&A) Project Manager- Bay Area, California / Santa Clara CA- Onsite",Yochana IT Solutions,,"Santa Clara, California",,,,,,,,,,,,https://www.dice.com/job-detail/d18a2524-4790-45dc-b5ec-91b2ff447af4
Technical Onboarding Specialist,STAND 8,,Georgia,,,,,,,,,,,,https://www.dice.com/job-detail/d3f5833e-e774-4cad-9267-92721bed93b1
Backend Java Engineer,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/699af7ab-c66c-47a9-9a3a-a09938405c5d
Senior Business Systems Analyst,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/a0b58376-c6da-4310-a684-a6c6aa4f6f2f
Network Engineer - Configuration & Infrastructure,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/9943cc6f-b5c9-43dd-a0ee-5159ef10c3c4
Business Analyst,Apex Systems,,"Cleveland, Ohio",,,,,,,,,,,,https://www.dice.com/job-detail/12e19988-e23f-4859-8c7c-403dc1b23971
QA Engineer - Android,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/8cf15902-1104-4641-928a-3cd77a319271
Data Engineer,Apex Systems,,"Redwood City, California",,,,,,,,,,,,https://www.dice.com/job-detail/013525d2-d795-427b-98be-602333aaa56f
IT Engineer - Specialist,Apex Systems,,"Merrifield, Virginia",,,,,,,,,,,,https://www.dice.com/job-detail/016aada7-af1b-4ace-a80f-162dabdf424d
Senior Broadcast Network Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/f65a11a5-4b85-4b9b-beb4-f9a999c24ea9
Senior Endpoint Operations Technician,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/5f1a2117-5470-4eef-9588-590af62ea013
M365 Collaboration Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/50b05d6f-0f31-49ad-ad0d-cab16886d8b1
IT Solutions Manager (Epicor P21),"TechNumen, Inc",,"Charlotte, North Carolina",,,,,,,,,,,,https://www.dice.com/job-detail/cccbf968-863e-4dc3-8984-b966a666f291
Sr. Software Engineer (Video Streaming),STAND 8,,Florida,,,,,,,,,,,,https://www.dice.com/job-detail/359357c9-1173-4b9e-b925-8242c63cfb87
Mechanical Engineer,Apex Systems,,"Tualatin, Oregon",,,,,,,,,,,,https://www.dice.com/job-detail/759ee111-432b-431a-9bb1-ce83f69650ff
Crib Attendants,Advanced Technology Services,,"Fayetteville, North Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9kS1BqR1JiIiwiam9iSWQiOiI2OWFlMjEwMS1mYmM4LTRkNGUtOTExNC05N2E3ZGY5NmRlNDMiLCJqb2JUaXRsZSI6IkNyaWIgQXR0ZW5kYW50cyIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Crib Attendant (Night Shift),Advanced Technology Services,,"Tupelo, Mississippi",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9HdTY5MkNiIiwiam9iSWQiOiI5YTZmZWExMC1jYTVkLTQxNWItOTNlZC1jNzc3YjYzMzY2MTMiLCJqb2JUaXRsZSI6IkNyaWIgQXR0ZW5kYW50IChOaWdodCBTaGlmdCkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
