Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Mainframe Programmer (COBOL),STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/6319a14f-b32e-4463-99ff-6ec9d6edb304
Security Systems Specialist,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/0144c16f-7d3e-4a18-9439-fcc81ae1610a
Desktop Support Engineer - Techbar,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/c17ea5d1-ebc8-43b8-9d73-44455bb7db37
Project Manager - LAN/WLAN & Fiber Infrastructure,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/1b6639f9-9db4-42aa-aa47-3f5773b388af
Network Engineer - Configuration & Infrastructure,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/a7b2a609-d8e4-45e4-bd99-9738020c7a1b
Backend Java Engineer,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/a3a8442b-09c8-4ea5-9f6a-3507918548c2
Senior Business Systems Analyst,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/f2eaca07-eea8-40e9-ade5-7870d36f5e3a
Sr. Program Manager,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/f1b6e20e-d295-4f8f-af9f-4e51eef24afe
Backend Go Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/cc08a4b5-1ed3-4f51-af67-efec6373ac2b
Senior Endpoint Operations Technician,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/38c5e255-c60a-44fe-9239-985d32c9ee5d
Remote Active Directory Migration Engineer,"STM Consulting, Inc.",,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/ba8f3922-bab3-4d72-9a9a-78dfa9da188c
Threat Detection Engineer / SIEM Administrator,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/1855e943-0ba1-4f50-8a18-b1d8580a73ad
Data Scientist,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/8bbbe7e6-2b99-47d3-849a-723b93956741
Data Scientist & Prompt Engineer,Apex Systems,,"Charlotte, North Carolina",,,,,,,,,,,,https://www.dice.com/job-detail/53480885-8807-41ab-8afd-7ed111168cc4
Data Scientist & Prompt Engineer,Apex Systems,,"Irving, Texas",,,,,,,,,,,,https://www.dice.com/job-detail/7e91e28e-ff3a-450f-8930-2ebe1c57f2c5
Network Security Engineer,Apex Systems,,"Fort Mill, South Carolina",,,,,,,,,,,,https://www.dice.com/job-detail/ad2c08ab-d30e-4bab-8a14-287c394f64c9
Travel Tech East,Apex Systems,,"Virginia Beach, Virginia",,,,,,,,,,,,https://www.dice.com/job-detail/421c8e9f-7114-47c7-8796-816848deae05
Electrical Engineer Sr,Apex Systems,,"Roanoke, Virginia",,,,,,,,,,,,https://www.dice.com/job-detail/fb110ea0-72dd-461e-889a-37e2f841815a
AI Solution Architect / Engineer (ServiceNow),STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/ce614606-aa16-47c9-8641-673bdaf663b0
Lead Data Scientist & Prompt Engineer,Apex Systems,,"Charlotte, North Carolina",,,,,,,,,,,,https://www.dice.com/job-detail/c962589a-6ceb-4b2a-add5-11280137403e
Lead Data Scientist & Prompt Engineer,Apex Systems,,"Irving, Texas",,,,,,,,,,,,https://www.dice.com/job-detail/8644e491-2a47-4803-b977-bb5c9518cec4
Business Systems Analyst,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/919b55f3-5259-446d-999b-c7768e593ef6
Site Reliability Engineer (Genetec),STAND 8,,"Englewood Cliffs, New Jersey",,,,,,,,,,,,https://www.dice.com/job-detail/310a50bb-0259-48f7-b4d0-802e46315740
Wireless Network Engineer,Apex Systems,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/2f7ec386-2985-49e6-b918-6a0332febc98
SAP EWM Consultant,"USG, Inc.",,"Dallas, Texas",,,,,,,,,,,,https://www.dice.com/job-detail/baec8c4d-2a2a-4c92-bb88-ad14bc0a48bd
BI Engineer,Apex Systems,,"Louisville, Kentucky",,,,,,,,,,,,https://www.dice.com/job-detail/d3eb1960-924f-42e9-ae6d-092d4031332f
Program Manager IV,Apex Systems,,"Sun Prairie, Wisconsin",,,,,,,,,,,,https://www.dice.com/job-detail/516900f9-f308-4b2e-97fb-af388b4938ba
Director of Applications,Robert Half,,"Albuquerque, New Mexico",,,,,,,,,,,,https://www.dice.com/job-detail/b34d3cbc-c1ac-42b2-8974-17fb7fcf0b6d
Technical Project Manager - BC/DR Focused,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/0e7a56b7-6477-4707-9c86-786f39af572f
Senior SAP Security Analyst - Remote,Apetan Consulting,,Remote or New Jersey,,,,,,,,,,,,https://www.dice.com/job-detail/f84f2d80-21c1-4249-a2a4-4779d0d4b59b
QA Engineer - Android,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/e133590e-d2ac-4451-b5d0-d81e36f51432
M365 Collaboration Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/832e0921-61e5-4ee9-b173-f237a9fc8be1
Sr. Software Engineer (Video Streaming),STAND 8,,Florida,,,,,,,,,,,,https://www.dice.com/job-detail/56b8f12b-b338-4dd8-9dae-7372e7a257b4
QA Engineer - JavaScript,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/269dc919-3e58-415c-9ac0-20b9c0c2519c
QA Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/9d968c12-0db7-4140-aa7e-28dce28438e1
Senior End Point User Computing Engineer - Mac,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/b586449d-0e50-4d48-9a61-62c6c513b0bc
BSA/AML Compliance Analyst I (Junior),Kforce Technology Staffing,,"Miami, Florida",,,,,,,,,,,,https://www.dice.com/job-detail/4c42142c-ac3b-457a-a856-003b7c9a8800
SAP BPC Technical Lead,STAND 8,,California,,,,,,,,,,,,https://www.dice.com/job-detail/6c95a020-eb6d-41ea-8fd7-bd81f50ee067
MDM Engineer,Apex Systems,,"San Francisco, California",,,,,,,,,,,,https://www.dice.com/job-detail/407dcf74-9c35-4b13-9625-25857b743524
"Madison, WI - IT - DOA - DET - DAIT - .NET Web Developer II - N/A",Apex Systems,,"Madison, Wisconsin",,,,,,,,,,,,https://www.dice.com/job-detail/b733a660-61fb-4ae3-a9fa-7c78677af539
"Madison, WI - IT - DOA - DET - DAIT - .NET Web Developer II - N/A",Apex Systems,,"Madison, Wisconsin",,,,,,,,,,,,https://www.dice.com/job-detail/b733a660-61fb-4ae3-a9fa-7c78677af539
Backend Go Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/d88a759f-02b8-4ceb-bec3-12325eef67e8
AI Engineer,Apex Systems,,"Washington, District of Columbia",,,,,,,,,,,,https://www.dice.com/job-detail/caa5501c-a70e-48c4-b66e-cb4d4529fc37
Regulated Messaging Engineer,Apex Systems,,"Jersey City, New Jersey",,,,,,,,,,,,https://www.dice.com/job-detail/eaf26234-1e97-496d-ac4a-841494e71120
"IT Support Specialist, Tier II",GoodLeap,,"Roseville, California",,,,,,,,,,,,https://www.dice.com/job-detail/c7b8115d-90b4-4040-b63c-6c69afa5a640
Senior Data & Analytics Consultant,Apex Systems,,"Charlotte, North Carolina",,,,,,,,,,,,https://www.dice.com/job-detail/711807b7-f743-47bc-b426-b8e81a5b5f1f
Hadoop Developer,Apex Systems,,"Addison, Texas",,,,,,,,,,,,https://www.dice.com/job-detail/2568e99c-09e1-4642-abe1-d59364466f51
Infrastructure Engineering - Network Engineer V,Apex Systems,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/f1bbe50a-ea1b-44ae-ae81-f4dfaa14733f
Senior TPM,Apex Systems,,"Bellevue, Washington",,,,,,,,,,,,https://www.dice.com/job-detail/c5dcc93e-202c-41ff-afd0-938658259541
IT Project Manager III,Apex Systems,,"Charlotte, North Carolina",,,,,,,,,,,,https://www.dice.com/job-detail/2c13b417-8648-4072-b43d-09f75a26f829
Senior Network Engineer,ION Group,,"Trumbull, Connecticut",,,,,,,,,,,,https://www.dice.com/job-detail/e9860cc3-6faf-4a5e-9b52-7d7ec37e7023
Program Manager (Payroll Testing),Apex Systems,,"Pensacola, Florida",,,,,,,,,,,,https://www.dice.com/job-detail/8d1b10de-82b5-480d-9678-1bf3f88777ce
340B Project Manager,Apex Systems,,"Conshohocken, Pennsylvania",,,,,,,,,,,,https://www.dice.com/job-detail/c2cef0c3-03c5-4b86-9e47-3246c3ad03b3
IT Business Analyst III,Apex Systems,,"Charlotte, North Carolina",,,,,,,,,,,,https://www.dice.com/job-detail/a03afda4-5706-4491-a890-bf94cb5b471a
Technical Writer,Apex Systems,,"Houston, Texas",,,,,,,,,,,,https://www.dice.com/job-detail/eeda4316-ee8a-45e4-a886-00db7205ed58
Technical Writer,Apex Systems,,"Bellevue, Washington",,,,,,,,,,,,https://www.dice.com/job-detail/42679c70-bc4e-4ebe-afde-b28ac911bcf6
GIS Technician Assc,Apex Systems,,"New Albany, Ohio",,,,,,,,,,,,https://www.dice.com/job-detail/95a53f82-0458-424a-aa8b-76fe40bd32f5
Electrical Engineer,Apex Systems,,"New Albany, Ohio",,,,,,,,,,,,https://www.dice.com/job-detail/b2aaf03f-4328-493f-a7b6-72b0297199aa
Functional System Archt,Apex Systems,,"New Albany, Ohio",,,,,,,,,,,,https://www.dice.com/job-detail/5c47ea14-b798-4361-a157-d3c0f5832aac
Engineer-Level 4 - Lead (15+ Years),Apex Systems,,"Juno Beach, Florida",,,,,,,,,,,,https://www.dice.com/job-detail/04561b36-a68d-4212-8f55-9a47c5a217c9
