Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Tool Crib Inventory Associate,Advanced Technology Services,,"Bloomington, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby85V0ZIX3ZiIiwiam9iSWQiOiIwZjIwNjdlMi1lNjE1LTQ2NzAtOTM3Yi1iMTVlN2IwMWM0MzAiLCJqb2JUaXRsZSI6IlRvb2wgQ3JpYiBJbnZlbnRvcnkgQXNzb2NpYXRlIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Maintenance Technician,Advanced Technology Services,,"Bellwood, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9Oc2FDUFdiIiwiam9iSWQiOiI0OGZmM2IyMC0wODU5LTQ3MTgtODg4Mi05NmU4Nzc0OTU0MjciLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Industrial Maintenance Technician,Advanced Technology Services,,"East Peoria, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9tb1FYQ2diIiwiam9iSWQiOiJhNTcwODFhYy05MTJlLTQwOGYtYjBhMC01ZmIwNGVlZGE1MzMiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Corporate Custodial Technician,Advanced Technology Services,,"Peoria, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9UY2pTQ3NiIiwiam9iSWQiOiI0MDc4OWY4Yi1hNmU2LTQ2NWUtYmRhYi1lYWEwODc2YzUzYWQiLCJqb2JUaXRsZSI6IkNvcnBvcmF0ZSBDdXN0b2RpYWwgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Pipefitter/ Maintenance Technician,Advanced Technology Services,,"Mossville, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9HLU8yOHhiIiwiam9iSWQiOiJmYTMwMzJiYi0wYTUwLTQ4NTktOGMxOS0yZjc0MjRiNjJhZDgiLCJqb2JUaXRsZSI6IlBpcGVmaXR0ZXIvIE1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Repair Technician,Advanced Technology Services,,"Mossville, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9GTVljck9iIiwiam9iSWQiOiI1MDc1YjE5YS1mZjc5LTQzMjUtYjU4MC1lYzA0OWNhMGUxODYiLCJqb2JUaXRsZSI6IlJlcGFpciBUZWNobmljaWFuIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Manual Machinist,Advanced Technology Services,,"Franklin Park, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9zUjhxTFBiIiwiam9iSWQiOiJkMDk5ZDRkNi1lYTE5LTQ1YzgtYjcyNi0wOTJjYzg1YjVjNDYiLCJqb2JUaXRsZSI6Ik1hbnVhbCBNYWNoaW5pc3QiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Millwright,Advanced Technology Services,,"Pontiac, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9UMDZ3T2xiIiwiam9iSWQiOiJkM2JkMGMxMC00ZDMxLTRhNTAtYmZlOC00MmZkYjI5YjEzMWMiLCJqb2JUaXRsZSI6Ik1pbGx3cmlnaHQiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Industrial Maintenance Technician,Advanced Technology Services,,"Franklin Park, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9aLXk2SHBiIiwiam9iSWQiOiJiOTBjYzZlZC0yMDBmLTQyZWUtYmQ1Zi02MTQzY2FmZTFiNDQiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Regional Field Service Maintenance Technician,Advanced Technology Services,,"Chicago, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9rb1Z3Y2piIiwiam9iSWQiOiJiNjU4YmNlMi1hZTk2LTQyM2YtODJjYi0wNTc4OTBhNDhjOGUiLCJqb2JUaXRsZSI6IlJlZ2lvbmFsIEZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Field Service Maintenance Technician,Advanced Technology Services,,"Kankakee, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby95dEMzZ3diIiwiam9iSWQiOiI1ZDMzMDEyOC01YWFjLTQ3ZDgtYWU5Ni1mMWQ0ZTUxMjAzMjIiLCJqb2JUaXRsZSI6IkZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Field Service Maintenance Technician,Advanced Technology Services,,"Chicago, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby8wa3dlZjViIiwiam9iSWQiOiJmODU5MTdmNC1mMzkwLTQ4NjEtYTg3Yi04NzBjMWVkMTI4ZjUiLCJqb2JUaXRsZSI6IkZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Field Service Maintenance Technician,Advanced Technology Services,,"Chicago, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9aRjJ3bDliIiwiam9iSWQiOiIxZTYwMmNjMC0zMjMyLTQ4NGEtYmJiZS1kNWU5ZGQ0YWZiMmUiLCJqb2JUaXRsZSI6IkZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Field Service Maintenance Technician,Advanced Technology Services,,"Plymouth, Indiana",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9BZjgwNkJiIiwiam9iSWQiOiIzZTk0OTRmNi03YzEyLTQ5YzQtOWNmNS0zN2UzNzI5MjViMDQiLCJqb2JUaXRsZSI6IkZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Traveling Maintenance Planner/Scheduler,Advanced Technology Services,,"East Chicago, Indiana",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby90QnljNm1iIiwiam9iSWQiOiI1YTYzNGY0OC01ZTBhLTQxYzItYTRlNC0zNGFmYzM0ZDEwYTAiLCJqb2JUaXRsZSI6IlRyYXZlbGluZyBNYWludGVuYW5jZSBQbGFubmVyL1NjaGVkdWxlciIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Field Service Maintenance Planner,Advanced Technology Services,,"Chicago, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby85UTRYZXFiIiwiam9iSWQiOiI1ZTVhODFhMS1lNDU3LTRhMTMtYWRhNC05OThiMjhhMTQwN2EiLCJqb2JUaXRsZSI6IkZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgUGxhbm5lciIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Senior Maintenance Technician - Special Projects Team,Advanced Technology Services,,"Pontiac, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9VdlpNVDZiIiwiam9iSWQiOiI2M2M1MzI2Ni0zMTI1LTQ0ODUtOWIyNi00NDdjOTVjMjJhMjQiLCJqb2JUaXRsZSI6IlNlbmlvciBNYWludGVuYW5jZSBUZWNobmljaWFuIC0gU3BlY2lhbCBQcm9qZWN0cyBUZWFtIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Maintenance Technician Senior,Advanced Technology Services,,"Yountville, California",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby93cU1udmJiIiwiam9iSWQiOiI3NWUxZTI5ZC1kNDU5LTRlMzAtOTZiZS1jYzUyNGU2YzNkNmEiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4gU2VuaW9yIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Maintenance Planner/Scheduler,Advanced Technology Services,,"Yountville, California",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9BeG8zYlliIiwiam9iSWQiOiIwN2I5NjI4OC04OTVlLTQ5MDEtYTkxMi0yMDNiMmI0Y2ExYzEiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFBsYW5uZXIvU2NoZWR1bGVyIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Industrial Maintenance Technician,Advanced Technology Services,,"Elk Grove Village, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9TMlljNUZiIiwiam9iSWQiOiI3ODEzMTc2Ni03MTJjLTRiYTMtODRiNy1hYzJmMDdkZmE3M2YiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Maintenance Technician Senior,Advanced Technology Services,,"Pennsauken, New Jersey",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9nRmI2ZmhiIiwiam9iSWQiOiJhYzQwNjg4Mi0zZWVlLTQxOTgtYjc5MS03NTA1Yzg4YWYxMzQiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4gU2VuaW9yIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Senior Industrial Maintenance Technician,Advanced Technology Services,,"Pontiac, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby8zNlNmX3ViIiwiam9iSWQiOiJjYzk5YTlmMi04YzNmLTQwNzgtOTA0MS1iOTdlNDFjZThjOTMiLCJqb2JUaXRsZSI6IlNlbmlvciBJbmR1c3RyaWFsIE1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Planner Scheduler,Advanced Technology Services,,"Plymouth, Indiana",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9FU0lkX0liIiwiam9iSWQiOiI5MjI3ZjVlZS04NjM1LTQ3YTctODM3Ny04NTgwMzhlYzg2YmMiLCJqb2JUaXRsZSI6IlBsYW5uZXIgU2NoZWR1bGVyIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Maintenance Specialist,Advanced Technology Services,,"East Peoria, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9wUFRsbnFiIiwiam9iSWQiOiJlMGYxOGVmYi0xNTNjLTQ3NTktYTk2Ny0wMmFlZjcwMDAyZDEiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFNwZWNpYWxpc3QiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Maintenance Specialist,Advanced Technology Services,,"Pontiac, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9KeW9XQ1diIiwiam9iSWQiOiJlYjc0OTFmNi1mZDZjLTRmZTgtOGE1Ny1kNzJkMWFjZDdjZDgiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFNwZWNpYWxpc3QiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Multi-craft Maintenance Technician,Advanced Technology Services,,"Pontiac, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby95ZWtvbmxiIiwiam9iSWQiOiJkMjkwNjdmYS0wOTkwLTRlNmEtYWNhZS1iNWM2Zjk0ZDQ3NjAiLCJqb2JUaXRsZSI6Ik11bHRpLWNyYWZ0IE1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Senior Facilities Maintenance Technician,Advanced Technology Services,,"Elk Grove Village, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9iLWU4VkxiIiwiam9iSWQiOiIxOGVkNjk1ZS1hMDBhLTQ2MmItYWIzMi1mN2E1Zjk0NWZiNTciLCJqb2JUaXRsZSI6IlNlbmlvciBGYWNpbGl0aWVzIE1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Supply Chain Specialist,Advanced Technology Services,,"Bloomington, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9JVlZ6US1iIiwiam9iSWQiOiI2MzUzODY2Yy04MzI5LTRhNTMtYmU4My05NThkZWY0ZWI3ZWUiLCJqb2JUaXRsZSI6IlN1cHBseSBDaGFpbiBTcGVjaWFsaXN0Iiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Controls Engineer Senior,Advanced Technology Services,,"Northumberland, Pennsylvania",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby96UFFuR2ViIiwiam9iSWQiOiIxNzdhN2NiYy0yZjAzLTQ4ZGUtOWZjZC1kYjdjYjIzNDBiMWYiLCJqb2JUaXRsZSI6IkNvbnRyb2xzIEVuZ2luZWVyIFNlbmlvciIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Industrial Maintenance Technician,Advanced Technology Services,,"Fargo, North Dakota",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9hY3VNRXpiIiwiam9iSWQiOiIwNzMzZDI3Ni1hMWRjLTQyNjItOGE5ZS1hYTJmYjk1MDQ0YmQiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Maintenance Technician,Advanced Technology Services,,"Starkville, Mississippi",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9rZklfLXdiIiwiam9iSWQiOiJmM2UxOTI4OC0xZTFlLTQyMWItODJjNy0zNGUyYzFhN2RkODUiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Industrial Maintenance Technician,Advanced Technology Services,,"Longview, Texas",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9mTkxvV09iIiwiam9iSWQiOiI5NWQ0NWExMS0xNjQ2LTQzM2YtODY0Yi01ZjA3ODJjM2U5YWIiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Multi-craft Maintenance Technician,Advanced Technology Services,,"Fayetteville, North Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby96NUZQaTJiIiwiam9iSWQiOiI1YTEyOTZlMS00NGRmLTQ4OGQtYWNmNi01MGM3MmExMzQ1YWYiLCJqb2JUaXRsZSI6Ik11bHRpLWNyYWZ0IE1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Maintenance Tech II,Advanced Technology Services,,"Pomona, Missouri",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9hYXVJS1liIiwiam9iSWQiOiIzZWE0N2QzOC1mZTA5LTRjNzUtODEwMy1hYmQwOWU0NzcwNjMiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2ggSUkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Tech II,Advanced Technology Services,,"Greenwood, South Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9NeTFXZXpiIiwiam9iSWQiOiI3NmQxOWE0ZS00YTJjLTQzZTctYWZiMS1hZmQwNTY5ZWZlNjYiLCJqb2JUaXRsZSI6IlRlY2ggSUkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
