Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
SAP FICO Consultant (Spanish Speaking),Source Code Technologies LLC,Shivaji Ganji,"Fairfield, NJ",Contract - Independent,Contract - W2,,,,,Contract - 12 Month(s),Accepts corp to corp applications,Depends on Experience,Hybrid,"Job Title: SAP FICO Consultant (Spanish Speaking)
Location: Fairfield, NJ (Onsite/Hybrid as required)
Travel: Monthly travel to Mexico (Monterrey plant)
Language Requirement: Fluent Spanish – Mandatory
Job Description:
We are seeking an experienced SAP FICO Consultant (Spanish Speaking) to provide end-to-end support for Financial Accounting and Controlling processes. The consultant will work closely with business and finance teams to optimize workflows, support implementations, and ensure smooth ongoing operations. This role requires regular collaboration with teams in Mexico, including monthly onsite visits.",https://www.dice.com/job-detail/22346fde-f9df-4dc0-b5dd-ec13ef9c75e1
Lead Analyst,Apex Systems,,"Charlotte, NC",Full Time,,,,,,,,,On Site,"Job#: 3015127

Job Description:

Position: Lead Analyst

Location: Charlotte, NC
4x/week onsite

Contract Length: 12 months

Top Requirements:
Lead experience



We are seeking a to oversee a project aimed at improving the accuracy of address data within our client's systems. The company has thousands of addresses that are not receiving active service, and this role focuses on identifying why-whether the addresses are invalid, incomplete, or incorrectly recorded. Research may involve verifying city/state/ZIP codes, unit numbers, and house numbers through online searches, as well as reviewing tax records, GIS tools, and county databases. The ultimate goal is to enhance data quality, strengthen marketing targeting, and support increased sales.

As the lead, you will guide a team of about ten researchers while also performing hands-on data work. You'll help troubleshoot issues, mentor team members, and ensure consistent progress. Strong Excel skills, experience working with data, and basic SQL knowledge are essential.

Key responsibilities include managing data uploads, performing SQL queries and table updates, and loading corrected address outcomes into a master reporting database. You'll help categorize issues, identify root causes, and track overall progress. This role requires someone who can shift easily between focused analytical work and supporting the team through questions, pivots, and problem-solving.

Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/68cb2d31-f08c-48e2-bf18-19a6820aa4ae
Controls Engineer Senior,Advanced Technology Services,,Pennsylvania,,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9NzQ1OTUxMTY1NSZmPWNhNmExZDc5OTcmaj0yMzk2N183NzA4NDAyMCZqcGlkPTI2OTgyNjE5MjQiLCJqb2JJZCI6IjRkNzNhMzdkLWE2YTItNGQyMC1iNzdjLTFjMzc3ZTE5NmQ4YyIsImpvYlRpdGxlIjoiQ29udHJvbHMgRW5naW5lZXIgU2VuaW9yIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Controls Engineer Senior,Advanced Technology Services,,Pennsylvania,,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9NM3A5bjBiIiwiam9iSWQiOiI3YTYzZDI1Yy03YTc3LTQ1ODYtYWI1OC1jY2Q4NTcxYjYzNjEiLCJqb2JUaXRsZSI6IkNvbnRyb2xzIEVuZ2luZWVyIFNlbmlvciIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Inventory and Parts Scheduler,Advanced Technology Services,,"Fargo, North Dakota",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9NzQ1OTUxMTY1NSZmPWNhNmExZDc5OTcmaj0yMzk2N183NzA4MzE2OSZqcGlkPTI2OTgyNjE5MjQiLCJqb2JJZCI6IjNjNGNjYTllLTg5ZjktNGI4Yy1iOWRjLTlmZTBkMTliMTQ0NCIsImpvYlRpdGxlIjoiSW52ZW50b3J5IGFuZCBQYXJ0cyBTY2hlZHVsZXIiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Materials Specialist I (National Travel - Can Reside Anywhere),Advanced Technology Services,,"Remote or Greenville, South Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9NzQ1OTUxMTY1NSZmPWNhNmExZDc5OTcmaj0yMzk2N183NzA4NDg5OSZqcGlkPTI2OTgyNjE5MjQiLCJqb2JJZCI6IjM3YzA5YjM1LWFmYzQtNDg0ZS1iN2FjLWE3NDgzYmM4ZjRiNiIsImpvYlRpdGxlIjoiTWF0ZXJpYWxzIFNwZWNpYWxpc3QgSSAoTmF0aW9uYWwgVHJhdmVsIC0gQ2FuIFJlc2lkZSBBbnl3aGVyZSkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Inventory and Parts Scheduler,Advanced Technology Services,,"Fargo, North Dakota",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9VVWMzT0FiIiwiam9iSWQiOiIwYzJjZDYzMi01ZmE5LTQ3ODYtOGQyYS05NTJhNGFkNmUyZTkiLCJqb2JUaXRsZSI6IkludmVudG9yeSBhbmQgUGFydHMgU2NoZWR1bGVyIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Materials Specialist I (National Travel - Can Reside Anywhere),Advanced Technology Services,,"Remote or Greenville, South Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby8zTTllNmpiIiwiam9iSWQiOiI2ZmRhMmQ1Yi0xY2Y2LTRjNDktYTUwYS01YWIxMTYwNmVmNDYiLCJqb2JUaXRsZSI6Ik1hdGVyaWFscyBTcGVjaWFsaXN0IEkgKE5hdGlvbmFsIFRyYXZlbCAtIENhbiBSZXNpZGUgQW55d2hlcmUpIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Maintenance Technician,Advanced Technology Services,,"Starkville, Mississippi",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9NzQ1OTUxMTY1NSZmPWNhNmExZDc5OTcmaj0yMzk2N183NzA4NDUzMyZqcGlkPTI2OTgyNjE5MjQiLCJqb2JJZCI6ImE0ZWM4MDJlLTRiNDAtNDc3OC1iN2I0LTBmOTU1MDA4MTc0ZSIsImpvYlRpdGxlIjoiTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Maintenance Technician,Advanced Technology Services,,"Starkville, Mississippi",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby8teDZjXy1iIiwiam9iSWQiOiI5MTkwMmY5Ni03ZjI4LTRlNjAtODZiNS00M2MzMjQ1ZmExN2YiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
