Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Principal MLOps Engineer - Mexico role - Remote,Acnovate Corporation,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/474ba261-7b33-41dc-b539-8b1d49d8c475
ML Engineer,Aptino,,"Hybrid in Houston, Texas",,,,,,,,,,,,https://www.dice.com/job-detail/108c02ef-e5ed-4d58-bd80-72edbbc3857b
Anaplan FP&A- Pleasanton CA /Coppell TX or Dallas Texas onsite/ Hybrid/Remote,Yochana IT Solutions,,"Remote or Pleasanton, California",,,,,,,,,,,,https://www.dice.com/job-detail/0811444b-ef52-47dc-a047-e9083c9e757e
Mainframe Programmer (COBOL),STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/0742017e-f9d0-47fb-8581-0cf8dcc87c6b
Technical Project Manager - IT PMO,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/d65ab4cf-eaa2-4bd0-9ce1-45810b291473
Backend Go Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/822eeb14-68e5-4fe8-9d9f-47e9579e9aab
Desktop Support Engineer - Techbar,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/d387a438-e508-486d-a4b8-e0e4c2f62465
Project Manager - LAN/WLAN & Fiber Infrastructure,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/7b7d93df-027e-4b59-83b4-1f939675869d
Technical Project Manager - BC/DR Focused,STAND 8,,"Long Beach, California",,,,,,,,,,,,https://www.dice.com/job-detail/b9996efc-7121-4ba5-84ba-13264e916e35
Systems Administrator,Apex Systems,,"Louisville, Kentucky",,,,,,,,,,,,https://www.dice.com/job-detail/cfc6633f-103c-4d17-8a82-9dc387067556
Technical Onboarding Specialist,STAND 8,,Georgia,,,,,,,,,,,,https://www.dice.com/job-detail/ca34ff41-3afb-4452-a8ac-6958d88091c0
Senior Business Systems Analyst,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/0aa60d26-725f-427f-8e01-957570a1e5a4
Network Engineer - Configuration & Infrastructure,STAND 8,,"Los Angeles, California",,,,,,,,,,,,https://www.dice.com/job-detail/e62ee75f-6f4f-491e-a8aa-ad349f7038d1
Backend Java Engineer,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/54c9eb8f-faa2-4fc2-81b5-7e3a2f327464
SQL Data Engineer,Robert Half,,"Albuquerque, New Mexico",,,,,,,,,,,,https://www.dice.com/job-detail/5f030251-a16d-4e4e-82ae-37daa6ffb9e2
Sr. Program Manager,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/94fc7186-c41c-43f0-8932-523259b62f11
QA Engineer - Android,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/a8c5cfdb-be3c-4be8-a041-a3556d933352
Senior Broadcast Network Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/375f1f8e-03c2-4e7d-81e3-1b1dc0534194
Java developer W-2 ONLY federal,United Global Technologies,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/5e89df05-829c-441e-bc00-dd1187fb46f9
M365 Collaboration Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/bcd70047-c46b-41ee-8443-676d8332fa80
Senior Endpoint Operations Technician,STAND 8,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/d6bfe7f4-e00e-4701-af3f-4b044edd15cc
Sr. Software Engineer (Video Streaming),STAND 8,,Florida,,,,,,,,,,,,https://www.dice.com/job-detail/eb69e1f4-f7b3-4e9e-a8eb-82e477b76449
QA Engineer,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/b2aab9e3-2efd-4ddd-b73d-0dab090bd3a7
Senior End Point User Computing Engineer - Mac,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/c9579d75-a06e-4479-a78a-7e402f878d99
QA Engineer - JavaScript,STAND 8,,"New York, New York",,,,,,,,,,,,https://www.dice.com/job-detail/7d6b9978-272d-4496-8342-821777e16de7
