Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Field Service Technician,SAIC,,"CANNON AFB, NM",Full Time,,,,,,,,,On Site,"Job ID: 2512673

Location: CANNON AFB, NM, US

Date Posted: 2025-12-31

Category: Wage Determination (SCA)

Subcategory: Service Contract Act

Schedule: Full-time

Shift: Rotating

Yes, 25 % of the Time

Interim Secret

Secret

No



SAIC is looking for a to support the AC-130 gunship located at",https://www.dice.com/job-detail/5aa3cba5-0373-422b-9137-cf5e6445f2c6
Field Service Technician,SAIC,,"ALBUQUERQUE, NM",Full Time,,,,,,,,,On Site,"Job ID: 2512673-ALBUQUERQUE-NM

Location: ALBUQUERQUE, NM, US

Date Posted: 2025-12-31

Category: Wage Determination (SCA)

Subcategory: Service Contract Act

Schedule: Full-time

Shift: Rotating

Yes, 25 % of the Time

Interim Secret

Secret

No



SAIC is looking for a to support the AC-130 gunship located at",https://www.dice.com/job-detail/e7b6d6d0-97dd-4ae0-8a0d-457fb3b97307
Field Service Technician,SAIC,,"AMARILLO, TX",Full Time,,,,,,,,,On Site,"Job ID: 2512673-AMARILLO-TX

Location: AMARILLO, TX, US

Date Posted: 2025-12-31

Category: Wage Determination (SCA)

Subcategory: Service Contract Act

Schedule: Full-time

Shift: Rotating

Yes, 25 % of the Time

Interim Secret

Secret

No



SAIC is looking for a to support the AC-130 gunship located at",https://www.dice.com/job-detail/b1008078-9ef4-4695-8e61-51e63c861032
Field Service Technician,SAIC,,"LUBBOCK, TX",Full Time,,,,,,,,,On Site,"Job ID: 2512673-LUBBOCK-TX

Location: LUBBOCK, TX, US

Date Posted: 2025-12-31

Category: Wage Determination (SCA)

Subcategory: Service Contract Act

Schedule: Full-time

Shift: Rotating

Yes, 25 % of the Time

Interim Secret

Secret

No



SAIC is looking for a to support the AC-130 gunship located at",https://www.dice.com/job-detail/6088b2b6-745d-4914-bff3-e9fe5dca3f97
Policy Analyst,ATA Services Inc,,"Santa Fe, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj1kODRiNDE5ZWQ2NDgtMzA2MzItMzkzMTEyNjAmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiJmZTIwNjc5My04OWNhLTQ2YjMtOWY1OS1kM2Y0ODhjZGY0YjUiLCJqb2JUaXRsZSI6IlBvbGljeSBBbmFseXN0Iiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Policy Analyst,ATA Services Inc,,"Albuquerque, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj1hODczNDExZDcxNWMtMzA2MzItMzkzMTEyNTkmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiI0NGUzYzI3MC1mZWIwLTRiMjItOWU2YS01NzM2NzRhOTY2NDgiLCJqb2JUaXRsZSI6IlBvbGljeSBBbmFseXN0Iiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Mainframe Programmer (COBOL),STAND 8,,"Long Beach, CA",Contract - W2,,,,,,,,$65 - $75 per hour,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India

We are seeking an experienced Mainframe Programmer (COBOL) to support the development, enhancement, and maintenance of large-scale enterprise mainframe applications. This role works closely with business analysts, QA teams, and system administrators to deliver reliable, secure, and efficient mainframe solutions for critical business operations.

Key Responsibilities",https://www.dice.com/job-detail/16861733-b3e9-4dde-8bb7-0e78ef6d2c9f
Mid-Level .NET Software Engineer,STAND 8,,Remote,Full Time,,,,,,,,$95000.00 - $120000 per annum,Remote,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India
We are seeking a Mid-Level .NET Software Engineer to join our global Release Engineering team. In this role, you will work in a matrixed, collaborative environment, partnering closely with Delivery and Client Success teams. You'll be responsible for developing, testing, and maintaining client-specific configurations and release packages for our cloud-based profitability solutions.
This is an excellent opportunity for a hands-on engineer with strong .NET expertise, an interest in financial systems, and the ability to work effectively with international banking clients in a fully remote setting.",https://www.dice.com/job-detail/ea4275aa-541b-442e-88fd-7c6cd36fb463
Desktop Support Engineer - Techbar,STAND 8,,"New York, NY",Contract - W2,,,,,,,,$22 - $32 per annum,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India.

The Level II IT Support Technician provides on-site desktop and technical support in a fast-paced work and studio campus environment. This role is responsible for troubleshooting Windows and basic Mac systems, supporting end users with desktop, laptop, and mobile device issues, and delivering high-quality customer service. The technician works independently while managing service requests and ensuring reliable technology operations across multiple locations. Flexibility and professionalism are essential due to dynamic scheduling and campus-wide support needs.",https://www.dice.com/job-detail/d84dae08-cd6c-4f80-a403-30db30479158
Project Manager - LAN/WLAN & Fiber Infrastructure,STAND 8,,"Los Angeles, CA",Contract - W2,,,,,,,,$58 - $68 per hour,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India
We are seeking an experienced Project Manager to oversee LAN, WLAN, and Fiber Infrastructure initiatives. This role focuses on managing large-scale installation, construction, and upgrade projects that enhance the district's network systems, ensuring reliable connectivity and optimal performance across multiple school campuses.
The ideal candidate will bring a strong technical background in network infrastructure combined with exceptional organizational and communication skills to lead cross-functional teams and vendor partners effectively.
Key Responsibilities",https://www.dice.com/job-detail/5042c063-a6e9-4d16-ac22-7bb56b332ca9
Project Manager - PCI DSS compliance program,STAND 8,,"Long Beach, CA",Contract - W2,,,,,,,,$81 - $91 per hour,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India
We are seeking an experienced Project Manager to lead and coordinate the implementation of a comprehensive Payment Card Industry (PCI) Compliance Program. This initiative includes approximately 59 interrelated projects spanning multiple bureaus, divisions, and departments that handle credit card transactions.
The Project Manager will ensure all projects align with PCI standards and organizational objectives, drive progress across diverse teams, and maintain compliance with industry regulations and security best practices. This role requires a strong background in project management, risk mitigation, and cross-functional coordination within technology or compliance environments.",https://www.dice.com/job-detail/ce07d840-dd27-49c2-bcd3-d1e2f937d8ae
Senior Business Systems Analyst,STAND 8,,"Universal City, CA",Contract - W2,,,,,,,,$60 - $65 per hour,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India.

We are seeking a Senior Business Systems Analyst with strong experience in financial systems to join our Solutions team. This role will serve as the lead analyst for a dedicated workstream, acting as the primary liaison between engineering teams and business stakeholders. The position is responsible for gathering and translating business and functional requirements into actionable user stories, supporting testing and UAT, and driving delivery across the full SDLC. The ideal candidate has deep financial systems experience, strong analytical skills, and the ability to lead initiatives in a fast-paced environment.",https://www.dice.com/job-detail/a163231f-88f8-4628-b078-468afdea335b
SDET (Video Streaming),STAND 8,,"Los Angeles, CA",Contract - W2,,,,,,,,$65 - $80 per hour,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India.

Our global solutions team is seeking a Software Development Engineer in Test (SDET) to support our major global media and entertainment client. This team is responsible for delivering high-quality streaming experiences to millions of users across web, mobile, and OTT devices. You will lead the design and development of scalable automation frameworks and validation tools that ensure playback reliability, API stability, and cross-device compatibility across complex media environments.

Our ideal resource combines software engineering expertise with a passion for automation, quality, and media technology. You will architect and implement advanced test frameworks, develop reusable automation libraries, and integrate tests into CI/CD workflows to ensure seamless content delivery. Your work will directly support the ongoing evolution of a global streaming platform by enhancing testing accuracy, coverage, and efficiency across playback and platform components. This is an exciting opportunity to work with next-generation media systems that power some of the most recognized entertainment brands worldwide. The project requires a hybrid schedule of three days per week onsite in Universal City, CA.",https://www.dice.com/job-detail/263f69fd-fbbf-4f42-806d-593b576477ab
Senior Endpoint Operations Technician,STAND 8,,Remote,Contract - W2,,,,,,,,$55 - $65 per hour,Remote,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India
We are seeking an experienced Endpoint Operations Technician to support and operate our Azure Virtual Desktop (AVD) and Microsoft Intune environment, as well as physical endpoints across the organization. This role partners closely with the Desktop Engineering, Security, and Compliance teams to ensure reliable delivery of end-user computing services worldwide. The ideal candidate will provide L3 support, contribute to engineering initiatives, and develop documentation including SOPs and runbooks for both technical teams and end users.
Role Responsibilities
Endpoint & Virtual Desktop Support",https://www.dice.com/job-detail/847fd41d-f1bd-40f6-8d33-5565eb2e8ba0
Threat Detection Engineer / SIEM Administrator,STAND 8,,"Long Beach, CA",Contract - W2,,,,,,,,$77 - $87 per hour,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India.

We are seeking a highly skilled Threat Detection Engineer / SIEM Administrator to join our Cyber Operations Team. In this role, you will operate and enhance the organization's analytics and detection infrastructure, ensuring strong threat monitoring, alerting, and incident response capabilities.
You will serve as the subject matter expert for SIEM design, deployment, and maintenance-building scalable systems with a high signal-to-noise ratio that empower effective threat detection.
This position requires deep technical expertise in SIEM engineering, an analytical mindset, and experience with Tier 2+ incident response.",https://www.dice.com/job-detail/7bd764fb-e949-4376-bc63-b009e583c387
Data Scientist,STAND 8,,"Long Beach, CA",Contract - W2,,,,,,,,$73 - $83 per hour,On Site,"STAND 8 provides end to end IT solutions to enterprise partners across the United States and with offices in Los Angeles, New York, New Jersey, Atlanta, and more including internationally in Mexico and India
We are seeking a highly analytical and technically skilled Data Scientist to transform complex, multi-source data into unified, actionable insights used for executive reporting and decision-making.
This role requires expertise in business intelligence design, data modeling, metadata management, data integrity validation, and the development of dashboards, reports, and analytics used across operational and strategic environments.
The ideal candidate thrives in a fast-paced environment, demonstrates strong investigative skills, and can collaborate effectively with technical teams, business stakeholders, and leadership.",https://www.dice.com/job-detail/0ed13913-55dc-4f2d-9d7a-8b0e77be250c
