Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
"Travel Surgical Tech - $1,497 per week in Santa Fe, NM",AlliedTravelCareers,,"Santa Fe, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9NDkzNDU3NDExNCZmPTE1YWMxMWY4YTMmaj02MDIxODcxMjAmanBpZD01ODQ1Nzc0NjIyIiwiam9iSWQiOiJmNDY5YjRiMy1hNDQ3LTQwY2MtODk1NC05NjQwYTdjMzU2NTIiLCJqb2JUaXRsZSI6IlRyYXZlbCBTdXJnaWNhbCBUZWNoIC0gJDEsNDk3IHBlciB3ZWVrIGluIFNhbnRhIEZlLCBOTSIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Scrum Master,Cosmic-I LLC DBA Northern Base,,Remote,,,,,,,,,,,,https://www.dice.com/job-detail/94a21f68-09f4-4dc3-a89b-0d743c2f6176
Controls Engineer Senior,Advanced Technology Services,,"Northumberland, Pennsylvania",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9YZjVUSlliIiwiam9iSWQiOiJmYzY3OTEzOC0wMzQxLTQ4NWUtYjE1YS02ZTM4ZDliNDFlYjYiLCJqb2JUaXRsZSI6IkNvbnRyb2xzIEVuZ2luZWVyIFNlbmlvciIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Inventory and Parts Scheduler,Advanced Technology Services,,"Fargo, North Dakota",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9QRlJQVFJiIiwiam9iSWQiOiIyNjNiYzlkNS1lNmI0LTQyNTMtOGQ0Yy1iOTllN2VhZTNkOGIiLCJqb2JUaXRsZSI6IkludmVudG9yeSBhbmQgUGFydHMgU2NoZWR1bGVyIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Materials Specialist I (National Travel - Can Reside Anywhere),Advanced Technology Services,,"Remote or Greenville, South Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9zeXB6ZVpiIiwiam9iSWQiOiJiMGRkMDIwZi1mYjczLTQ4MTItYTUwMC0yNGFkM2FmMGQ3ZjMiLCJqb2JUaXRsZSI6Ik1hdGVyaWFscyBTcGVjaWFsaXN0IEkgKE5hdGlvbmFsIFRyYXZlbCAtIENhbiBSZXNpZGUgQW55d2hlcmUpIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Tool Crib Inventory Associate,Advanced Technology Services,,"Bloomington, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9OeW5hVFhiIiwiam9iSWQiOiJlNjUzOThlMy04NTE4LTQ1ZDgtOTM1OC0xNWUxNTc2NmY5ZWIiLCJqb2JUaXRsZSI6IlRvb2wgQ3JpYiBJbnZlbnRvcnkgQXNzb2NpYXRlIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Industrial Maintenance Technician,Advanced Technology Services,,"Fargo, North Dakota",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9falJiMmJiIiwiam9iSWQiOiIxNGE0M2I4NS01MWY0LTRjYTktODRiZC1mZDU5NzJmY2U1YjgiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Maintenance Technician,Advanced Technology Services,,"Starkville, Mississippi",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9lVHpEMEhiIiwiam9iSWQiOiIxYjMxOTg5NS02ZDhmLTQ3ZmQtYWE3ZC1hMDZiMjFlZTIwNGUiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Industrial Maintenance Technician,Advanced Technology Services,,"East Peoria, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9LNlVKLTZiIiwiam9iSWQiOiJkYzM2NjI4Yi01MTc5LTQ5MjYtYTFjYy02YTMzODcwOWI0NTgiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Corporate Custodial Technician,Advanced Technology Services,,"Peoria, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby85Y0hINTBiIiwiam9iSWQiOiJmZTcyODM3ZS04OTU0LTRhZjktYTQ5Ni0wZmQ0ZTlmMGY5MGMiLCJqb2JUaXRsZSI6IkNvcnBvcmF0ZSBDdXN0b2RpYWwgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Maintenance Technician,Advanced Technology Services,,"Bellwood, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9fZllDWF9iIiwiam9iSWQiOiIyZmI1NjE3ZS0wYTgxLTRlM2QtYTdjMi1mNzg1ZGZiN2QyZTIiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Pipefitter/ Maintenance Technician,Advanced Technology Services,,"Mossville, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9ZOXZ2VHJiIiwiam9iSWQiOiI3MTQ1ZmQyMC1iOGNiLTQwZjgtYmIzZi1lM2QxZTU0NWJhMGEiLCJqb2JUaXRsZSI6IlBpcGVmaXR0ZXIvIE1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Field Service Maintenance Technician,Advanced Technology Services,,"Indianapolis, Indiana",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9iaWxkMmdiIiwiam9iSWQiOiJhNmQwNGM1Mi1hOGQ3LTQyMGEtYmYzZC02NmE0MmIxMjJlYjYiLCJqb2JUaXRsZSI6IkZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Field Service Maintenance Technician (Regional Travel),Advanced Technology Services,,"Charlotte, North Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9WcUN6V3JiIiwiam9iSWQiOiJiMzcwMmQwMy01N2NhLTQ3MGEtYTcxZi1kNDhjOWVkMzk5MmIiLCJqb2JUaXRsZSI6IkZpZWxkIFNlcnZpY2UgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiAoUmVnaW9uYWwgVHJhdmVsKSIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Industrial Maintenance Technician,Advanced Technology Services,,"Franklin Park, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9tTnMzS0xiIiwiam9iSWQiOiI2OWVlOTRhZS1mN2QwLTQxZTAtOTk3ZC1hOTVhYTYxZjJmZTciLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Manual Machinist,Advanced Technology Services,,"Franklin Park, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9rR0x0MDliIiwiam9iSWQiOiJmNGU5NjIzOC0xODYyLTRlMTItYmQyMS05ZDNmZDI5MmIyMGEiLCJqb2JUaXRsZSI6Ik1hbnVhbCBNYWNoaW5pc3QiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Industrial Maintenance Technician - National Travel,Advanced Technology Services,,"Philadelphia, Pennsylvania",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9pQkdfNG1iIiwiam9iSWQiOiJmZWZlYzEwZS1hNTgxLTRmNjMtOWRjYS1jMzg4MDZhMWMwNWYiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiAtIE5hdGlvbmFsIFRyYXZlbCIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Tech II,Advanced Technology Services,,"Greenwood, South Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9EUmtUZ2FiIiwiam9iSWQiOiIxYTYyOTcwMS1jNjc3LTRjYTYtYThiMy00MWIzMzlhZjg4MjAiLCJqb2JUaXRsZSI6IlRlY2ggSUkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Maintenance Technician,Advanced Technology Services,,"Augusta, Georgia",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9vZjRTOURiIiwiam9iSWQiOiJhODBmOTA3Ny1jYjE4LTRjMGUtYTBiMC0xMmRlNGE5NTU2NDciLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Industrial Maintenance Technician,Advanced Technology Services,,"Lafayette, Indiana",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby80VDAwNGRiIiwiam9iSWQiOiI2ZmJjOTE5ZC01NDJhLTRhZTEtYWQ3Ni04ZjVhNjU3ZmY4NmMiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Industrial Maintenance Technician,Advanced Technology Services,,"Mapleton, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby85MWRKN2diIiwiam9iSWQiOiJlOTZiNjIxMS1iYTVjLTQxYmUtOWFmMy01NDIwNWVlM2U3MTIiLCJqb2JUaXRsZSI6IkluZHVzdHJpYWwgTWFpbnRlbmFuY2UgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Multi-craft Maintenance Technician,Advanced Technology Services,,"Fayetteville, North Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9ic1E3NDRiIiwiam9iSWQiOiJlMzIwNWUzZS0yNzFjLTRjNzUtOGViZC05OTEyZTYwZWY2ZTkiLCJqb2JUaXRsZSI6Ik11bHRpLWNyYWZ0IE1haW50ZW5hbmNlIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Millwright,Advanced Technology Services,,"Pontiac, Illinois",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby94UXVoQ0piIiwiam9iSWQiOiJmZmY0MWE3My04YzgzLTQxNTQtODZiYi1iMDFmOGEzOTdlOWMiLCJqb2JUaXRsZSI6Ik1pbGx3cmlnaHQiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Maintenance Tech II,Advanced Technology Services,,"Greenwood, South Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby95OVZnNXRiIiwiam9iSWQiOiJlYjcyZDY3My05YmU3LTRkZGItOWRhNS01M2EwYzgyZTc1MzMiLCJqb2JUaXRsZSI6Ik1haW50ZW5hbmNlIFRlY2ggSUkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
